Title,Release Year,Parent Rating,genre,Summary,Writers,Stars,Direcctor
Jawaani Jaaneman,2020,Not Rated,"Comedy, Drama",A 40 year-old playboy's life turns upside down when he comes to know that he has a 20 something year-old daughter.,"Hussain Dalal, Abbas Dalal, Juan Vera","Saif Ali Khan, Alaya F, Tabu",Nitin Kakkar
Knives Out,2019,15,"Comedy, Crime, Drama","A detective investigates the death of the patriarch of an eccentric, combative family.",Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas",Rian Johnson
Knives Out,2016,,Drama,,"Michal Surówka, Przemyslaw Wojcieszek","Anastazja Borkoniuk, Ania Konczal, Natalia Lagiewczyk",Przemyslaw Wojcieszek
Knives Out,2017,,"Action, Adventure",100 players jump in diverse maps to be the last one standing in this Battle Royale game. It features 3 Maps currently. The original and first Map is a small island named Fighting Field. Snowy weather is sometimes available in this map. The 2nd Map is Peninsula of Hurricane which is the most diverse map in the game. It features all types of terrains in a single map. Be... Read all,,,
Last Christmas,2019,15,"Comedy, Drama, Fantasy","Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.","George Michael, Emma Thompson, Greg Wise","Madison Ingoldsby, Emma Thompson, Boris Isakovic",Paul Feig
Last Christmas,1999,,"Drama, Fantasy",A young boy's dream of finding his dead father comes true when his father visits him as an angel. But things turn sour when he discovers that his father was not the hero he imagined him to be.,Tony Grounds,"Pauline Quirke, Ray Winstone, Phil Daniels",Adrian Shergold
Last Christmas,,,Comedy,,"Antonio Carone, Christiano Pahler","Andrea Bruschi, Giulio Cancelli, Evita Ciri",Christiano Pahler
Rasuto kurisumasu,2004– ,,Romance,"Haruki Kenji is the manager of the Winter Sports section of a large sporting goods company. On a ski trip in New Zealand with his friend Shintani Goro (who is also his boss) and Shintani's new secretary, Aoi Yuki. Upon returning to Japan he finds that he has a new neighbor in the apartment next to his. It is Aoi. While watching the movers he sees a photograph drop fro... Read all",,"Yûji Oda, Akiko Yada, Hiroshi Tamaki",
The Legend of Inikpi,2020,PG,History,"Inspired by true events, The Legend of Inikpi tells the story of a well-loved Igala princess 'Inikpi' whose very breath holds the destiny of the Igala nation. Set in the 16th century, before the coming of the colonialists, an impending war looms over the flourishing Igala Kingdom from the mighty Bini Kingdom led by Oba Esigie. To avert this war, King Attah Ayegba of I... Read all",Kehinde Joseph Omoto,"Odunlade Adekola, Nancy Ameh, Saidi Balogun",Frank Rajah Arase
Panipat,2019,18,"Action, Drama, History","The film is based on the third battle of Panipat which took place on the 14 of January in 1761 between the Marathas and the King of Afghanistan, Ahmad Shah Abdali.","Ranjeet Bahadur, Ashok Chakradhar, Chandrashekhar Dhavalikar","Arjun Kapoor, Sanjay Dutt, Kriti Sanon",Ashutosh Gowariker
Pati Patni Aur Woh,2019,15,"Comedy, Romance","Chintu Tyagi is an ordinary, middle class man who finds himself torn between his wife and another woman.","Mudassar Aziz, B.R. Chopra, Ravi Kumar","Kartik Aaryan, Bhumi Pednekar, Ananya Pandey",Mudassar Aziz
Pati Patni Aur Woh,1978,,"Comedy, Romance","Adam & Eve live a worry-free life in paradise. They are instructed not to eat an apple. One day they cannot resist the temptation, and both take a bite out of it. Nature takes offense and expels them from heaven. They are forced to live on Earth as ordinary human beings - together with the apple that has followed them. Now Adam is called Ranjeet Chaddha, a Sales Manag... Read all",Kamleshwar,"Sanjeev Kumar, Vidya Sinha, Ranjeeta Kaur",B.R. Chopra
Pati Patni Aur Woh,2009– ,,Reality-TV,Pati Patni Aur Woh was an Indian reality television show. It is the Indian version of The The Baby Borrowers (2008).,,"Gurmeet Choudhary, Debina Bonnerjee, Gaurav Chopra",
Pati Patni Aur Woh,2020– ,,Comedy,A middle-class man from Mathura finds himself torn between his dead wife's ghost and sexy second wife.,,"Anant Vidhaat Sharma, Riya Sen, Vinny Arora",
Playing with Fire,2019,PG,"Comedy, Family",A crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids.,"Dan Ewen, Matt Lieberman","John Cena, Keegan-Michael Key, John Leguizamo",Andy Fickman
Jugar con Fuego,2019– ,,Drama,"Three prosperous women, including a mother and her daughter, fall for a seductive man in Colombia's Coffee Triangle.",,"Jason Day, Margarita Rosa de Francisco, Carlos Ponce",
Le jeu avec le feu,1975,,Drama,"When Carolina, the daughter of wealthy banker Georges de Saxe, is reported kidnapped, it is upsetting to him even though he knows it isn't true. The kidnappers have taken the wrong person. The banker hires Frantz a dishevelled, seedy detective to find his daughter and hide her safely away. She soon finds herself in a fantasy-land whorehouse, where all kinds of extreme... Read all",Alain Robbe-Grillet,"Jean-Louis Trintignant, Philippe Noiret, Anicée Alvina",Alain Robbe-Grillet
Laro sa baga,2000,,Drama,Two young people falling in love while exploring the politics of sexual awakening and social relations leading to a complex web of deceit and understanding.,Edgardo Reyes,"Carlos Morales, Ara Mina, Angel Aquino",Chito S. Roño
Playing with Fire,2008,R,Thriller,"Beautiful, seductive rich girl Daphne gets her kicks playing mind games; finding and seducing young working-class men until she cruelly kicks them to the curb. But when she comes across handsome med student Nick, she discovers a challenge. Nick isn't so easily seduced. So Daphne and her friends set about seducing Nick's girlfriend, Heather. When things go wrong and He... Read all",Matthew Jason Walsh,"Kelly Albanese, Susan Anton, Michael Bergin",David DeCoteau
The Protégé,2021,R,"Action, Thriller","Rescued as a child by the legendary assassin Moody, Anna is the world's most skilled contract killer. However, when Moody is brutally killed, she vows revenge for the man who taught her everything she knows.",Richard Wenk,"Michael Keaton, Maggie Q, Samuel L. Jackson",Martin Campbell
Survival of Jelili,2019,,Comedy,"The film is based on Jelili, a young man who aspires to seek social status and changes his jobs ranging from boxing to modelling.",Sharafadeen Olabode,"Femi Adebayo, Toyin Abraham, Woli Agba",Desmond Elliot
Your Excellency,2019,,,The movie entails generally on the west African country Nigeria which is about conducting an election for the 13th Democratic president of the country. It entails about the happenings in the country's political sector and the country at large during the general elections.,"Mo Abudu, Funke Akindele, Yinka Ogun","Kemi Lala Akindoju, Shaffy Bello, Kunle Coker",Funke Akindele
Mardaani 2,2019,18,"Action, Crime, Drama",A 21-year old boy Sunny has a penchant for sexually assaulting and killing girls. He's locked horns with top cop Shivani Shivaji Roy. Will she nab him?,Gopi Puthran,"Rani Mukerji, Sunny Hinduja, Shruti Bapna",Gopi Puthran
Dabangg 3,2019,Not Rated,"Action, Comedy, Crime","Chulbul Pandey encounters an enemy from his past, and his origin story as the fearless cop unfolds.","Salman Khan, Prabhu Deva, Alok Upadhyay","Salman Khan, Sudeep, Sonakshi Sinha",Prabhu Deva
The Informer,2019,R,"Action, Crime, Drama",An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.,"Matt Cook, Rowan Joffe, Andrea Di Stefano","Joel Kinnaman, Rosamund Pike, Common",Andrea Di Stefano
Jexi,2019,15,"Comedy, Romance, Sci-Fi","Phil makes top 10 pop lists at work. His only ""friend"" is cellphone Siri. His new phone includes AI helper Jexi, who improves/controls his social life.","Jon Lucas, Scott Moore","Adam Devine, Alexandra Shipp, Rose Byrne",Jon Lucas
Spies in Disguise,2019,12A,"Animation, Action, Adventure","When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world.","Lucas Martell, Cindy Davis, Brad Copeland","Rachel Brosnahan, Jarrett Bruno, Claire Crosby",Nick Bruno
Sugar Rush,2005–2006,,"Drama, Romance","15-year-old Kim has just moved to Brighton and developed an earth-shattering, hormone-surging crush on her new best friend, Sugar.",,"Olivia Hallinan, Lenora Crichlow, Richard Lumsden",
Sugar Rush,2018–2020,,"Game-Show, Reality-TV","A baking competition with 4 teams, 3 rounds, 2 cakes and 1 winner of $10,000.",,"Hunter March, Adriano Zumbo, Candace Nelson",
Sugar Rush,2019,,"Action, Comedy","The Sugar Sisters discover a whopping $800,000, the financial crimes commission and the supposed owners of the money come for them. Now they team up with unlikely allies and it's a race against the clock to set things right.","Bunmi Ajakaiye, Jadesola Osiberu","Lateef Adedimeji, Bimbo Ademoye, Bisola Aiyeola",Kayode Kasum
Sugar Rush,2005– ,,Documentary,Bakery owner Warren Brown meets celebrated pastry chefs and shows the viewer how to make exquisite desserts and handcrafted sweets.,,,
Good Newwz,2019,Not Rated,"Comedy, Drama",Two couples with the same surnames pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,"Jyoti Kapoor, Rishabh Sharma, Raj Mehta","Akshay Kumar, Kareena Kapoor, Diljit Dosanjh",Raj Mehta
Lionheart,1990,R,"Action, Crime, Drama",An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.,"Stefani Warren, Jean-Claude Van Damme, Sheldon Lettich","Jean-Claude Van Damme, Harrison Page, Deborah Rennard",Sheldon Lettich
Lionheart,1987,PG,"Adventure, Drama","A young knight sets out to join King Richard's crusaders. Along the way, he encounters The Black Prince who captures children and sells them as slaves to the Muslims. It is Robert Narra's sworn duty to protect the children and lead them to safety.","Menno Meyjes, Richard Outten","Eric Stoltz, Gabriel Byrne, Nicola Cowper",Franklin J. Schaffner
Lionheart,2018,TV-PG,Comedy,"Running a company can be challenging, especially for a female in a male-dominated industry. Looking to prove her worth, Adaeze steps up to the challenge when health issues force her father to take a step back.","Ishaya Bako, Emil Garuba, Genevieve Nnaji","Genevieve Nnaji, Nkem Owoh, Pete Edochie",Genevieve Nnaji
Lionheart,1968,,"Family, Drama",A lion escapes from a circus but is rescued and protected by a young boy.,"Michael Forlong, Alexander Fullerton","Simba, James Forlong, Robert Dean",Michael Forlong
Loving Rona,2021,,Romance,"Following a breakup weeks to her wedding, the pretentious scheming Rona embarks on a journey to disrupt her ex fiancee's new relationship to ensure nothing stops her wedding. Starring Meg Otanwa, Gideon Okeke, Jeff Bankz Nweke, Fiona Garba, Ummi Baba-Ahmed, Erica Opia Bale, Jide Bolarinwa and Patricia Egbon Executive Producer: Alex Odinigwe and Chidi Umeoji Associate ... Read all",Becky Ngoma,"Ummi Baba-Ahmed, Erica Bale, Fiona Garba",Luke Oyovbaire
Different Worlds,2019,,Romance,A Nigerian man travels to America for adventure and has a life changing encounter with a New Orleans artist.,"Austin Ogbuefi, Tamyra Taylor","Kofi Adjorlolo, Jordan V. Allen, Tamara Archibong",Chris Eneaji Eneng
Different Worlds,2021– ,,"Comedy, Drama",Three strangers from Different Worlds leave their comfort zone to come together throughout their cultural differences realising that they see themselves in one another and they are no longer alone.,,"Amit Mehta, Jane Bychkova, Steven Machunter",
Gold Coast Lounge,2020,,"Crime, Drama, Romance",An Afro-noir film taking place in the heart of Ghana. A crime family have to clean up their act before the government shuts down their private lounge.,Pascal Aka,"Pascal Aka, Raquel Ammah, Fred Nii Amugi",Pascal Aka
Dolittle,2020,PG,"Adventure, Comedy, Family",A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,"Stephen Gaghan, Dan Gregor, Doug Mand","Robert Downey Jr., Antonio Banderas, Michael Sheen",Stephen Gaghan
Tanhaji: The Unsung Warrior,2020,Not Rated,"Action, Biography, Drama","Tanhaji Malusare, a military chieftain in the army of the Maratha king Shivaji, leads the charge to capture the strategically important Kondhana fort guarded by the army of the fierce Rajput chieftain Udaybhan Rathod.","Prakash Kapadia, Om Raut, Kirti Deghatak","Ajay Devgn, Saif Ali Khan, Sharad Kelkar",Om Raut
Bad Boys for Life,2020,R,"Action, Comedy, Crime",Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,"Peter Craig, Joe Carnahan, Chris Bremner","Will Smith, Martin Lawrence, Vanessa Hudgens",Adil El Arbi
Bad Boys for Life,2017,,"Short, Music",,,Sean Rosa,
Chhapaak,2020,Not Rated,"Biography, Drama","The trials and triumphs of Malti, an acid attack survivor. From the investigation of the attack to the court proceedings, the medical treatment to the emotional healing. Chhapaak is the story of the unquashable human spirit.","Atika Chohan, Meghna Gulzar","Deepika Padukone, Vikrant Massey, Madhurjeet Sarghi",Meghna Gulzar
Just Mercy,2019,PG-13,"Biography, Crime, Drama",World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,"Destin Daniel Cretton, Andrew Lanham, Bryan Stevenson","Michael B. Jordan, Jamie Foxx, Brie Larson",Destin Daniel Cretton
Panga,2020,Not Rated,"Drama, Sport","Panga is inspired by the life of a National-level Kabbadi player from India. It follows her triumphs, struggle, and overcoming of stereotypes. It shows how important family love and support is for success.","Nikhil Mehrotra, Ashwiny Iyer Tiwari, Nitesh Tiwari","Kangana Ranaut, Jassie Gill, Richa Chadha",Ashwiny Iyer Tiwari
Curse III: Blood Sacrifice,1991,R,Horror,"In 1950s Africa, a tribal magician calls up a demon to kill Europeans.","Richard Haddon Haines, John Hunt, Sean Barton","Christopher Lee, Jenilee Harrison, Henry Cele",Sean Barton
Small Chops,2020,12,Drama,"Nikita, an afro dancer at a bar catches the attention of Casper, an uptight business mogul. Casper pays for a weekend of private entertainment, things don't go as planned.","Chika Ike, Uyai Ikpe-Etim, Beth Rogers","Toyin Abraham, Omotunde Adebowale David, Lilian Chioma Agu",Robert Peters
Street Dancer 3D,2020,Not Rated,"Drama, Music","Two rival dance groups from India and Pakistan who are always competing against each other, join forces when it comes to competing at an international dance competition.",Farhad Samji,"Varun Dhawan, Shraddha Kapoor, Prabhu Deva",Remo D'Souza
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,R,"Action, Adventure, Comedy","After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.","Christina Hodson, Paul Dini, Bruce Timm","Margot Robbie, Rosie Perez, Mary Elizabeth Winstead",Cathy Yan
Birds of Prey,2002–2003,,"Action, Adventure, Drama","In the future, long after the Batman has driven himself into exile, his legacy lives on in the form of the Birds of Prey--Black Canary, Oracle, and the Huntress.",,"Ashley Scott, Dina Meyer, Rachel Skarsten",
Birds of Prey,1973,,"Action, Crime, Thriller",A former fighter pilot now working as a radio station traffic reporter witnesses a bank robbery. He chases down the bank robbers and a hostage in his helicopter.,"Robert Boris, Rupert Hitzig","David Janssen, Ralph Meeker, Elayne Heilveil",William A. Graham
Birds of Prey,1986,,Thriller,A homicide detective finds himself being stalked by a killer responsible for a series of mob style executions.,"Peter Haynes, Jorge Montesi","Jorge Montesi, Joseph Patrick Finn, Linda Elder",Jorge Montesi
Efunsetan Aniwura,2005,,History,"An adaptation of Akinwunmi Isola's play ""Efunsetan Aniwura"", a historical drama covering the life of the eponymous Yoruba heroine who was the second Iyalode (Queen of Women) of Ibadan and who was killed on 30 June 1874.",Akinwunmi Ishola,"Kareem Adepoju, Deji Aderemi, Saidi Balogun",Tunde Kelani
Efunsetan Aniwura,,,,"Efunsetan Aniwura is a very wealthy and powerful woman in Ibadan at the end of the 18th century. The community is afraid to question her about her bad manners, but is forced to confront her after she has killed a pregnant slave in public.",Akinwunmi Ishola,"Bankole Bello, Isola Ogunsola, Iyabo Ogunsola",Bankole Bello
Efunsetan Aniwura,2020,,"Drama, History",The story of the most powerful and wealthiest Yoruba woman. She dealt in slave trading and ammunition in the 17th Century. She was an advocate for equal rights among men and women until she lost her only child and became depressed and vicious which led to the killing of her slaves.,Joshua Ojo,"Clarion Chukwura-Abiola, Alex Usifo Omiagbo",Joshua Ojo
Efunsetan Aniwura,2012,,Drama,"The stage production ""Efunsetan Aniwura"" filmed live in Ife, the ancient Yoruba city in south-western Nigeria (Osun State), tells the story of the second Iyalode of Ibadan, a successful merchant who was also a ruthless slave trader.",Akinwunmi Ishola,Ife Performance Circle,Akande Opeyemi
Like a Boss,2020,R,Comedy,Two friends with very different ideals start a beauty company together. One is more practical while the other wants to earn her fortune and live a lavish lifestyle.,"Sam Pitman, Adam Cole-Kelly, Danielle Sanchez-Witzel","Tiffany Haddish, Rose Byrne, Salma Hayek",Miguel Arteta
Like a Boss,2020,,"Short, Comedy",Like A Boss is a series of interesting people who we meet on a daily basis. There is a boss and there are his associates.,,Harish Gadappa,
Like a Boss,2016– ,,Reality-TV,It is about assistances trying to move up in a very competitive world to become their own bosses.,,"Tigger, Blair Myers, Nick Cannon",
Like a Boss,,,Reality-TV,,"See writer, See producer",See preliminary cast,See company contact information
Like a Boss,2012,,Reality-TV,,,Rafael Peixoto,
Like a Boss,2017– ,,Talk-Show,,,,
Shylock,2020,Not Rated,"Action, Drama, Thriller","The story follows an episode in the life of Boss, a quick-witted, sharp financier in Kerala's film industry.","Aneesh Hameed, Bibin Mohan","Mammootty, Meena, Siddique",Ajai Vasudev
Shylock,,,Documentary,,"Pierre Lasry, William Shakespeare","Orson Welles, Werner Krauss, Warren Mitchell",Pierre Lasry
Shylock,2009,,Drama,"Stepping in and out of character while trolling around an elegant Dutch theater augmented by life-sized video projections of a modern production of The Merchant of Venice, actor Cahit Ölmez is decidedly ""not just talking about plays and acting."" Addressing us, his audience, Ölmez excavates Tubal, a minor but freighted Shakespearean creation, the only friend of Merchan... Read all",Gareth Armstrong,"Adelheid Roosen, Cahit Ölmez",Michal Shabtay
Blue Story,2019,R,"Crime, Drama, Musical",A gang war dooms the lifelong bond of south London friends in this acclaimed crime drama that features its writer-director as a rapping Greek chorus.,Rapman,"Micheal Ward, Rohan Nedd, Khali Best",Rapman
Dear Affy,2020,,"Comedy, Romance",An engaged couple hit a number of speed bumps on their road to matrimony including major career complications and questions of fidelity.,"Temitope Bolade, Diche Enunwa, Anthony Kehinde Joseph","Toyin Abraham, Seilat Adebowale, Bimbo Ademoye",Samuel Olatunji
Malang - Unleash the Madness,2020,Not Rated,"Action, Crime, Drama","Advait visits Goa where he meets Sara, a free-spirited girl who lives life unshackled. Opposites attract and all goes well until life turns upside down. Years later, Advait is on a killing spree with cops Aghase and Michael in his way.","Aseem Arrora, Aniruddha Guha, Mohit Suri","Aditya Roy Kapoor, Anil Kapoor, Disha Patani",Mohit Suri
Fantasy Island,2021– ,,"Adventure, Drama, Fantasy","People who walk in with a desire, but end up reborn to themselves through the magical realism of Fantasy Island.",,"Roselyn Sanchez, Kiara Barnes, John Gabriel Rodriquez",
Fantasy Island,1977–1984,,"Adventure, Comedy, Drama","The mysterious Mr. Roarke runs a unique resort island in the Pacific Ocean that can fulfill any fantasy, but they rarely turn out as expected.",,"Ricardo Montalban, Hervé Villechaize, Wendy Schaal",
Fantasy Island,1998–1999,,"Adventure, Comedy, Drama","In this ""dark"" update of the classic series, Mr. Roarke and his assistants bring the fantasies of their visitors to life.",,"Malcolm McDowell, Mädchen Amick, Edward Hibbert",
Fantasy Island,2002,,"Comedy, Drama",,Archie Gips,"Eric Soden, Kimberly Atkinson, Mike Faiola",Sean Travis
Fantasy Island,2010– ,,Animation,"In the magical setting of an enchanted island, what of all things but the infamous ship Titanic happens to wind up in a nearby cove?",,,
Love Aaj Kal,2009,Not Rated,"Comedy, Drama, Romance",An old-fashioned romantic tells his personal love story to a modern man who has just broken up with his girlfriend. Has love really ever changed?,Imtiaz Ali,"Saif Ali Khan, Deepika Padukone, Rishi Kapoor",Imtiaz Ali
Love Aaj Kal,2020,,"Drama, Romance","When professional ambitions clash with personal feelings for a modern-day couple, a love story from a bygone era may offer some wisdom.","Imtiaz Ali, Wajid Shaikh","Kartik Aaryan, Sara Ali Khan, Randeep Hooda",Imtiaz Ali
Muddled,,,Drama,What happens when you are torn between staying and moving on?,Francis Uzoma,"Sophie Alakija, Belinda Effah, Cheng Fuller",Best Okoduwa
Queen & Slim,2019,R,"Crime, Drama, Romance",A couple's first date takes an unexpected turn when a police officer pulls them over.,"Lena Waithe, James Frey","Daniel Kaluuya, Jodie Turner-Smith, Bokeem Woodbine",Melina Matsoukas
Who's the Boss,2020,,"Comedy, Romance","This narrates the story of a Young and ambitious employee who tries to work her way to the top, but keeps being de-valued. She decided to take a bold step which ends her in a position she deserves to be and without love for a long time.",Chinaza Onuzo,"Funke Akindele, Blossom Chukwujekwu, Sharon Ooja",Chinaza Onuzo
Shubh Mangal Zyada Saavdhan,2020,Not Rated,"Comedy, Crime, Romance","The road to achieving a happy ending is a little too rough for two guys Kartik and Aman. While Aman's family tries hard to battle his love for Kartik, Kartik isn't prepared to step back until he marries Aman.",Hitesh Kewalya,"Ayushmann Khurrana, Jitendra Kumar, Gajraj Rao",Hitesh Kewalya
Sonic the Hedgehog,2020,PG,"Action, Adventure, Comedy","After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.","Pat Casey, Josh Miller","Ben Schwartz, James Marsden, Jim Carrey",Jeff Fowler
Sonic the Hedgehog,1993–1994,,"Animation, Short, Action","In a post-apocalyptic and dystopian future, all life has been challenged by oppression and tyranny, as the evil Dr. Robotnik is on the wake of controlling Mobius.",,"Jaleel White, Bradley Pierce, Charlie Adler",
Sonic the Hedgehog,2006,,"Action, Adventure, Family","Sonic must come to the aid of Princess Elise, who possesses a dark power coveted by Dr. Eggman.","Shun Nakamura, Kiyoko Yoshimura, Shiro Maekawa","Lacey Chabert, Lisa Ortiz, Erica Schroeder",Shun Nakamura
Sonic the Hedgehog,1991,,"Action, Adventure, Family",A blue hedgehog with supersonic speed must rescue animals from being turned into robots by a mad scientist.,,,
Bhoot: Part One - The Haunted Ship,2020,Not Rated,"Horror, Mystery, Thriller",A bereaved shipping officer investigates the mystery behind a ghost ship that washes ashore in Mumbai.,Bhanu Pratap Singh,"Vicky Kaushal, Ashutosh Rana, Meher Vij",Bhanu Pratap Singh
Handicapped,2020,,Drama,"Resolute in her quest to escape poverty, a young African girl finds herself entangled in a web of traffickers.","Seun Arowojolu, Denice Chikaodi, Roy Osuji","Valerie Dish, Chimezie Imo, Amanda Oruh",Seun Arowojolu
Handicapped,2013,,"Short, Comedy",Nurse giving diagnosis to a patient who will be undergoing treatment for months.,Chris Reynolds II,"Tracy ""Stresh"" Mcnulty, Djilali Rez-Kallah",Chris Reynolds II
Angrezi Medium,2020,,"Comedy, Drama","When his daughter decides to further her studies in London, a hardworking Rajasthani businessman does everything in power to make her dreams come true.","Bhavesh Mandalia, Gaurav Shukla, Vinay Chhawal","Irrfan Khan, Radhika Madan, Kareena Kapoor",Homi Adajania
Bloodshot,2020,PG-13,"Action, Adventure, Sci-Fi","Ray Garrison, a slain soldier, is re-animated with superpowers.","Jeff Wadlow, Eric Heisserer, Kevin VanHook","Vin Diesel, Eiza González, Sam Heughan",Dave Wilson
Bloodshot,,,Action,,"See writer, See producer",See preliminary cast,See company contact information
Bloodshot,,,Crime,,"See writer, See producer",See preliminary cast,See company contact information
My Spy,2020,PG-13,"Action, Comedy","A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.","Erich Hoeber, Jon Hoeber","Dave Bautista, Chloe Coleman, Parisa Fitz-Henley",Peter Segal
My Spy,,,"Action, Comedy",,"See writer, See producer",See preliminary cast,See company contact information
My Spy,2009,,"Action, Comedy","AJ (AC Mizal) is color blind. Salleh (Harun Salim Bachik) is a retired police officer who tried to sell his designs to the Royal Malaysian Police. Both hate each other. However, these private investigators must join forces to solve their biggest cases. AJ and Salleh will be faced with a Datuk O ((Ridzuan Hashim) corrupt, a thief and killer twins, a sexy secretary, and... Read all","Amir Hafizi, Afdlin Shauki","AC Mizal, Harun Salim Bachik, Hannah Tan",Afdlin Shauki
Onward,2020,PG,"Animation, Adventure, Comedy",Two elven brothers embark on a quest to bring their father back for one day.,"Dan Scanlon, Keith Bunin, Jason Headley","Tom Holland, Chris Pratt, Julia Louis-Dreyfus",Dan Scanlon
Onward,,,,Traditions and rituals of indigenous communities around the world,,,
Mama Drama,2020,,Drama,,"Bimbo Akinbode, Temitope Bolade, Diche Enunwa","Osas Ighodaro, Kunle Remi, Kehinde Bankole",Seyi Babatope
Mama Drama,2012– ,,Reality-TV,,,,
Unroyal,2020,,"Comedy, Romance","When a rude and arrogant princess finds herself reliant on a humble gatekeeper after a terrible accident, it may be enough to make her change her ways.","Christabella Ike, Matilda Gogo Lambert, Mary Jane Okoronkwo","Kingsley Abasili, Weme Charity Ada, Femi Adebayo",Moses Inwang
Love Thy Neighbour,1972–1976,,Comedy,A white working-class socialist has his world turned upside down when an educated black man moves in next door.,,"Jack Smethurst, Rudolph Walker, Nina Baden-Semper",
Love Thy Neighbour,1973,Not Rated,Comedy,"Two men who are next-door neighbors constantly battle over seemingly-trivial offenses; on the other hand, their wives are the best of friends. The two couples attempt to win a 'love-thy-neighbor' competition by lying.","Vince Powell, Harry Driver","Jack Smethurst, Rudolph Walker, Nina Baden-Semper",John Robins
Love Thy Neighbour,2020,,Drama,Fareed and Gbemi are determined to be better people by loving their neighbors as themselves but how much love will be for Lola their new neighbor,Beth Rogers,"Jasperwills Ebuka, Austin Ezeh, Martins Neboh",Okechukwu Oku
Love Thy Neighbour,2011,,Drama,"Ye Meng (Shaun Chen) leaves Malaysia with his girlfriend to take up a job in Singapore, then loses her shortly afterward. He meets Da Fa (Yu Ha) and his daughter Tian Hu (Felicia Chin), who claim to be fortunetellers but are actually con-artists. Ye Meng moves in with them and meets their quirky neighbours. Xian He (Douglas Kung) and his family came to Singapore to st... Read all",,"Asmiyati Bin Ashbah, Shaun Chen, Felicia Chin",
Love Thy Neighbour,2011– ,,Reality-TV,Twelve families compete to prove that they deserve to win a home in the picture postcard perfect Yorkshire Dales village of Grassington,,Richard Vranch,
Love Thy Neighbour,2012,,"Comedy, Romance",,Clement Tang,"Chloe Foster, Thomas Haynes, Jessie Wilson",Clement Tang
Mulan,2020,PG-13,"Action, Adventure, Drama",A young Chinese maiden disguises herself as a male warrior in order to save her father.,"Rick Jaffa, Amanda Silver, Lauren Hynek","Liu Yifei, Donnie Yen, Gong Li",Niki Caro
Mulan,1998,G,"Animation, Adventure, Comedy","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.","Robert D. San Souci, Rita Hsiao, Chris Sanders","Ming-Na Wen, Eddie Murphy, BD Wong",Tony Bancroft
Mulan,1998,,"Animation, Action, Family",A girl joins the Chinese army.,"Roddy Lee, Roz Phillips, Leonard Lee","Ric Herbert, Joanna Moore, Lee Perry",Geoff Beak
Tenet,2020,PG-13,"Action, Sci-Fi, Thriller","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Christopher Nolan,"John David Washington, Robert Pattinson, Elizabeth Debicki",Christopher Nolan
Unhinged,2020,R,"Action, Thriller","After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",Carl Ellsworth,"Russell Crowe, Caren Pistorius, Gabriel Bateman",Derrick Borte
Unhinged,2017,R,Horror,"Four American best friends decide to take the back roads travelling to a wedding in England, on their way a deadly secret forces the girls to be stranded in the woods, where they discover a house occupied by Miss Perkins.","Dan Allen, Scott Jeffrey","Kate Lister, Lucy-Jane Quinlan, Becca Hirani",Dan Allen
Unhinged,1982,Unrated,Horror,"Three young women who crash their car during a rainstorm are taken in by a bizarre family at their large, rural estate.","Don Gronquist, Reagan Ramsey","Laurel Munson, Janet Penner, Sara Ansley",Don Gronquist
Unhinged,2022,,Thriller,When a young psychiatrist tries hypnotism to save an unstable patient neither are prepared for the dark secrets that are revealed.,,"Adam Johnson, Marisa Echeverria, Taylor Foster",
Unhinged,2014,,Thriller,"After the murder of Samantha, detectives are looking to solve the case. The difficulty in solving the case may just take them in a new direction.","Jeff Stenzel, Brian Wakeley","Jeff Stenzel, Anna Daskam, Thomas M.J. Zdanowicz",Jeff Stenzel
Unhinged,2017,,"Drama, Horror","A glimpse into the lives of criminals and psychopaths , inspired by true stories of immorality both anecdotal and recorded.",,"Rhys Lorenc, Jeremy Ainsworth, Isabella Todd",
Soft Work,,,Action,,Michael Osuji,"Shaffy Bello, Frank Donga, Mofe Duncan",Darasen Richards
